,title,user_name,number_of_views,number_of_comments,date_post,date_active
0,'Well Gatherings': weekly video chats for WikiWing and Change Circle,hilary,7000,116,"Mar 30, 2020","Jan 7, 2021"
1,I Ching Diagrams,tacrab,4000,4,"Jul 5, 2018","Sep 14, 2020"
2,Denis Mair's articles hosted at Clarity,hilary,5000,1,"Dec 18, 2016","Jan 12, 2017"
3,"""Times"" // The work of Ricardo Andreé",Sparhawk,35000,20,"Aug 9, 2010","Jul 31, 2016"
4,King Wen Sequence Explained,fkegan,10000,12,"Mar 21, 2008",Tuesday at 8:14 PM
5,Print copy of Hatcher?,katrinakong,129,4,"Dec 20, 2020","Jan 5, 2021"
6,LiSe's blog,hilary,71,1,"Dec 19, 2020","Dec 19, 2020"
7,"an artist's book about the I Ching titled ""Later Heaven""",danadanadana,192,4,"Nov 22, 2020","Dec 5, 2020"
8,Yijing Movies,answeredquestions,5000,13,"Mar 10, 2012","Dec 5, 2020"
9,"Essential oils and I Ching: webinar, Sunday 6th December",hilary,143,0,"Dec 4, 2020","Dec 4, 2020"
10,What now?,vanland,87,0,"Nov 12, 2020","Nov 12, 2020"
11,New blog index page (from the blog),hilary,406,12,"Sep 12, 2020","Oct 8, 2020"
12,"Tenth Wing--Zagua ""Miscellaneous Hexagrams""",tacrab,1000,47,"Sep 14, 2020","Oct 7, 2020"
13,Site down,ctoz,133,2,"Sep 27, 2020","Sep 27, 2020"
14,New 8-Week Online Workshop ‘The Power of the Hexagrams' starting September 2020,Freedda,296,2,"May 31, 2020","Sep 11, 2020"
15,New Resonance Journal version (from the blog),hilary,233,0,"Sep 8, 2020","Sep 8, 2020"
16,Wei Tat's guiding light?,ctoz,529,4,"May 29, 2020","Aug 29, 2020"
17,Temple of singularity,regardie,162,0,"Jul 22, 2020","Jul 22, 2020"
18,"New: Online workshop - The Mystery of the Text:  Understanding the Words of the Book of Changes, starts August 17",Freedda,242,0,"Jun 15, 2020","Jun 15, 2020"
19,8-Week Online Workshop ‘Power of the Hexagrams’ w/ Harmen Mesker starting June 2020,Freedda,666,3,"Mar 29, 2020","May 31, 2020"
20,March 22nd: ‘Connecting with Imagery’ Workshop (from the blog),hilary,381,1,"Mar 12, 2020","Mar 13, 2020"
21,Hilary Barrett's Foundations Class begins March 29th,Freedda,246,0,"Mar 10, 2020","Mar 10, 2020"
22,Xiangshu Yixue anyone?,AltVis8D,798,10,"Feb 9, 2020","Mar 7, 2020"
23,Sam Reifler's I Ching from 1974,TaoYinYang,715,6,"Feb 1, 2020","Feb 3, 2020"
0,Opening soon for readings (from the blog),hilary,255,0,"Jan 28, 2020","Jan 28, 2020"
1,The 900-800BC hexagram 50 axe,hmesker,989,7,"Aug 2, 2019","Jan 6, 2020"
2,Possible Relation of the Received (King Wen) Sequence to Taotie Motif,Southyist,757,9,"Jan 3, 2020","Jan 6, 2020"
3,Book Review: Richard Cook's Classical Chinese Combinatorics,tacrab,777,5,"Dec 5, 2019","Dec 13, 2019"
4,Book Review: John Minford's I Ching,tacrab,5000,5,"Dec 25, 2016","Dec 2, 2019"
5,Yi Jing For The Spiritual Traveler - free download until 31 dec.,Jian Lee,1000,32,"Nov 27, 2019","Nov 28, 2019"
6,"Two workshops with Harmen Mesker in March, 2020",Freedda,455,0,"Oct 22, 2019","Oct 22, 2019"
7,The Luo Shu - the language of numbers,Sparhawk,69000,96,"Sep 3, 2009","Sep 25, 2019"
8,Yijing Foundations Class (starting this Sunday) (from the blog),hilary,346,0,"Sep 10, 2019","Sep 10, 2019"
9,"Hatcher translation, Hermetica.info updates",bradford,1000,5,"Mar 1, 2019","Sep 7, 2019"
10,Video 5: moving lines (1),hmesker,1000,12,"Jul 13, 2019","Aug 25, 2019"
11,Fathoming the Changes: The Evolution of Some Technical Terms and Interpretive Strategies in Yijing Exegesis,svenrus,358,1,"Aug 11, 2019","Aug 23, 2019"
12,site revived,ctoz,948,7,"Jul 29, 2019","Aug 16, 2019"
13,Forum Remodelling Coming Soon (from the blog),hilary,3000,37,"Jun 30, 2019","Aug 12, 2019"
14,"Book review (1): Edward Shaughnessy, 'Unearthing the Changes'",hmesker,506,0,"Jul 3, 2019","Jul 3, 2019"
15,"Liu Dajun, 'An Introduction to the Zhou yi (Book of Changes)'",hmesker,650,0,"Jun 18, 2019","Jun 18, 2019"
16,‘Connecting with Imagery’: a free workshop (from the blog),hilary,1000,0,"Jun 13, 2019","Jun 13, 2019"
17,Book Review: Richard Smith's Several Books on I Ching,tacrab,784,0,"Jun 8, 2019","Jun 8, 2019"
18,A free sample of the Paired Hexagrams course (from the blog),hilary,888,0,"May 21, 2019","May 21, 2019"
19,Video 4: Example reading 1,hmesker,609,0,"May 13, 2019","May 13, 2019"
0,Book Review: Cheng Yi's [I]The Yi River Commentary on the Book of Changes[/I],tacrab,1000,6,"May 3, 2019","May 4, 2019"
1,"I Ching, Ethics, Digital Age",tacrab,592,0,"Apr 19, 2019","Apr 19, 2019"
2,"Unveiling the Mystery of the I Ching by Tuck Chang (Author), et al. finally on print",svenrus,6000,6,"Jan 4, 2017","Apr 8, 2019"
3,Hexagram paintings,hilary,22000,22,"Feb 4, 2013","Mar 10, 2019"
4,Video 3: how (not) to consult the Yijing,hmesker,5000,32,"Nov 7, 2018","Mar 8, 2019"
5,Parabola Magazine: I Ching Article,TaoYinYang,769,2,"Feb 22, 2019","Feb 23, 2019"
6,How Many Books On The I Ching Do You Own?,TaoYinYang,4000,18,"Jan 26, 2018","Feb 13, 2019"
7,Three USA workshops in March 2019 with Harmen Mesker,Freedda,1000,1,"Dec 13, 2018","Jan 22, 2019"
8,New I Ching books: paperback and kindle editions in Amazon,enoslong,1000,2,"Jan 6, 2019","Jan 17, 2019"
9,Opening for readings (and some changes) (from the blog),hilary,585,0,"Jan 7, 2019","Jan 7, 2019"
10,From discussion of hexagrams as Opposites.,p mac,3000,2,"Apr 20, 2011","Dec 31, 2018"
11,I Ching software to explore multiple moving lines in a cast hexagram,d_squared,1000,9,"Dec 18, 2018","Dec 27, 2018"
12,Arthur Waley «Book of Changes»,charly,2000,2,"Sep 29, 2018","Oct 4, 2018"
13,"Birocco, new book-reviews",svenrus,2000,2,"Sep 27, 2018","Sep 29, 2018"
14,Important errata message from Birocco,svenrus,2000,1,"Aug 29, 2018","Sep 1, 2018"
15,Requesting Hilary's book (and other I Ching books) on Kindle,Freedda,668,0,"Aug 30, 2018","Aug 30, 2018"
16,Free Trial for a Great Divination Mobile App - Consult I Ching,tzhang1,1000,1,"Jul 23, 2018","Aug 19, 2018"
17,River Diagrams and Trigram Cycles of the I Ching,baharna,1000,3,"Jul 28, 2018","Aug 1, 2018"
18,Improved Access To I-Ching,danielyoung,1000,1,"Jul 14, 2018","Jul 15, 2018"
19,Video 2: Trigrams,hmesker,2000,6,"Jun 22, 2018","Jun 24, 2018"
0,Hold/Release in the Trigrams,astalder,979,2,"May 29, 2018","May 31, 2018"
1,Thomas mcClatchie’s “A Translation of the Confucian I Ching or Classic of Changes”,hmesker,2000,2,"Apr 11, 2018","May 6, 2018"
2,"New Resonance Journal, now with password and printing (from the blog)",hilary,813,1,"May 2, 2018","May 2, 2018"
3,"qʰˤraŋ, roŋ, [g]ur: a (new) Old Chinese 周易 zhōuyì transcription",fabiogalassi,1000,0,"Apr 30, 2018","Apr 30, 2018"
4,"Book Review: Yijing, Shamanic Oracle of China",tacrab,710,0,"Apr 29, 2018","Apr 29, 2018"
5,"2-day Yijing Workshop Intensive, New York",hmesker,1000,2,"Mar 8, 2018","Mar 22, 2018"
6,"Holy Grail, pareidolia, or something quite simple?",dryjoe,897,2,"Mar 10, 2018","Mar 11, 2018"
7,"Paul Fendos, 'The Book of Changes: a modern adaptation and interpretation'",hilary,2000,9,"Jan 16, 2018","Feb 21, 2018"
8,New round of Yijing-inspired music,bradford,703,0,"Feb 16, 2018","Feb 16, 2018"
9,New vido with translation from JingLai,svenrus,786,2,"Feb 11, 2018","Feb 13, 2018"
10,"Movie on Wilhelm ""Secrets Of The iChing"" free at VUDU",Lavalamp,954,1,"Nov 25, 2017","Feb 5, 2018"
11,"Article: ""Elemental Changes in the I Ching?""",astalder,1000,1,"Jan 7, 2017","Dec 30, 2017"
12,Zicky - a board game based on the Lo Shu Square,hundred_Viet,1000,6,"Dec 3, 2017","Dec 5, 2017"
13,Interesting Book Available for Free,cjgait,755,0,"Nov 29, 2017","Nov 29, 2017"
14,On the practice of Divination in East Asia. New book coming.......,svenrus,799,1,"Nov 24, 2017","Nov 26, 2017"
15,I Ching in Dance: Nederlands Dans Theater,tacrab,836,1,"Nov 8, 2017","Nov 19, 2017"
16,"John Cage, Avant-garde Musician",tacrab,2000,0,"Oct 4, 2017","Oct 4, 2017"
17,"Who knows about the book ""Demystifying the Chinese Divining Octagon""?",Leerling,869,2,"Sep 17, 2017","Sep 19, 2017"
18,New Translation by Geoffrey Redmond,bradford,1000,3,"Jul 24, 2017","Aug 18, 2017"
19,I Ching and Aging---New book out,tacrab,2000,7,"Jun 2, 2017","Jul 23, 2017"
0,I Ching: New Resources Available from Larry Schulz,tacrab,764,0,"Jul 6, 2017","Jul 6, 2017"
1,Book Review: Bent Nielsen's A Companion to Yi Jing Reissued,tacrab,916,0,"May 8, 2017","May 8, 2017"
2,LINK Text tool for Digital Sinology,svenrus,790,0,"May 2, 2017","May 2, 2017"
3,Book Review: Iulian Shchutskii's Researches on the I Ching,tacrab,885,2,"Apr 18, 2017","Apr 30, 2017"
4,"Joseph Adlers papers and bookreviews, a valuable page (Link)",svenrus,678,1,"Apr 17, 2017","Apr 19, 2017"
5,The Yijing originated from Vietnam???,Optimalist,2000,7,"Jan 5, 2017","Apr 16, 2017"
6,Writing part of my book online,cjgait,636,0,"Apr 15, 2017","Apr 15, 2017"
7,Book Review: Book of Changes by Lars Bo Christensen,tacrab,645,0,"Mar 27, 2017","Mar 27, 2017"
8,Trigram Heaven blog post,maggie may,1000,0,"Mar 4, 2017","Mar 4, 2017"
9,"Plans, intentions, and a gift (from the blog)",hilary,821,1,"Dec 20, 2016","Dec 21, 2016"
10,Yixue Bibliography Update,bradford,760,0,"Dec 13, 2016","Dec 13, 2016"
11,Yijing Art: Calligraphy by Wang Dongling,tacrab,868,0,"Nov 15, 2016","Nov 15, 2016"
12,"Book Review: Stephen Field's ""The Duke of Zhou Changes""",tacrab,939,1,"Nov 9, 2016","Nov 13, 2016"
13,Atlanta GA I Ching Meet Ups,maggie may,701,0,"Nov 6, 2016","Nov 6, 2016"
14,Resonance Journal update! (from the blog),hilary,599,0,"Nov 1, 2016","Nov 1, 2016"
15,Clarity redesign,hilary,10000,79,"Jul 22, 2016","Sep 21, 2016"
16,Yi as inspiration (from the blog),hilary,624,0,"Sep 17, 2016","Sep 17, 2016"
17,The manuscripts of Richard Wilhelm,hmesker,840,1,"Sep 11, 2016","Sep 12, 2016"
18,IE browsers access to forum  ???,Trojina,2000,8,"Aug 19, 2016","Aug 19, 2016"
19,New service: I Ching chat (from the blog),hilary,649,0,"Aug 16, 2016","Aug 16, 2016"
0,Coming soon: a new way to join WikiWing,hilary,3000,7,"Aug 4, 2015","Aug 15, 2016"
1,Book Review: C.G. Garant's Designer's Book of Change,tacrab,2000,5,"Aug 2, 2016","Aug 7, 2016"
2,New book from Lars Bo Christensen,svenrus,672,0,"Aug 6, 2016","Aug 6, 2016"
3,The Secrets of the I Ching. New documentary.,Sparhawk,2000,3,"Jun 23, 2016","Aug 1, 2016"
4,The original two-pane reading is back (from the blog),hilary,1000,5,"Jul 26, 2016","Jul 31, 2016"
5,Change is coming… (from the blog),hilary,1000,0,"Jul 24, 2016","Jul 24, 2016"
6,Guide to the new website (from the blog),hilary,673,0,"Jul 24, 2016","Jul 24, 2016"
7,I Ching and Architecture,tacrab,1000,1,"Jul 17, 2016","Jul 18, 2016"
8,"Art Show: ""360º I Ching""",tacrab,2000,0,"Jun 17, 2016","Jun 17, 2016"
9,YiJingDao 1.2: YiJing English translation plus Chinese dictionary,bernie,3000,17,"May 23, 2016","May 30, 2016"
10,Book Review: Scott Davis Classic of Changes in Cultural Context,tacrab,2000,6,"May 18, 2016","May 22, 2016"
11,Book Review: David Hinton's I Ching Translation,tacrab,13000,19,"Feb 3, 2016","May 16, 2016"
12,Yijing as the Source of Nine Star Ki – London course (from the blog),hilary,1000,0,"Apr 27, 2016","Apr 27, 2016"
13,"""I Ching: Mothering Change""",canislulu,8000,26,"Mar 9, 2015","Apr 18, 2016"
14,Book Review: Margaret Pearson's The Original I Ching,tacrab,663,0,"Apr 15, 2016","Apr 15, 2016"
15,Memrise App for Yijing,AskingQuestions,2000,7,"Mar 30, 2016","Apr 10, 2016"
16,Zhou Yi Dao and Yi Jing Lessons in Second Life,cjgait,2000,9,"Apr 8, 2016","Apr 10, 2016"
