,content
0,"So...past week or more have been experiencing nausea and have been sleeping heavy sometimes on and off during the day. ***** - sounds like pregnancy but it definitely is not that!So I asked what is causing my nausea   Hex 40 - release.Yes I get that, as since the final decision on child support I have felt a very heavy burden has lifted as the whole thing had an effect on many people and many things in my life and I have been doing a lot of Releasing of situations emotional and otherwise that do not serve me anymore. yay!so I asked how can I overcome this nausea Hex 41.4>38Not sure what this one actually means except I would feel rejoiced  if I did not have it - it is not fun.thks for helping me againMelissa xx"
1,"Hi,I'm new on here. My husband and I are hoping to sell our house and move. I asked The IC if we could do this in 6 months and I got Hexagram 34 lines 1 and 5 changing to 28. Previously I asked the IC if we would move within the year and I got hex 1.5 changing to 14. I have gotten 14 quite a bit in relation to this issue. It seems 34 suggests timing is an issue (it is for us in terms of $ and the market) or does hex 28 indicate that things will get unbearable and thus we will move in 6 months? WE certainly are chomping at the bit to get out of here, but alas the housing market....Thank you for any insights!"
2,"I recently did a relationship reading asking the oracle how I should proceed with someone I've been seeing for about a month. I received Hex 23 with changing lines into 57. This is significant on several fronts. I meditated about the themes for me over the next several weeks and transition came up loud and clear, as did foundation and a pivotal turning point. I'm thinking these are all related, I'm just not sure how they tie together with this particular person, although I""m noticing some of my insecurities coming to the forefront and I don't like it. I dont want to repeat my patterns of the past. Any insight into this reading would be greatly appreciated. "
3,"Hi,I actually put the full story in another thread (true love in a traditional culture), but I realized that others would not be able to search and find the insight and wisdom and replies of others....so please forgive the duplication, but i know that as i have been learning, i find it so much more helpful to actually be able to search via the header of the threads!So if you do have a reply to this one....this is about receiving the blessings of the mother of the man that I am interested for our marriage.  She has been fighting our union. (like I said, full story is in the other thread)....Will his mother give her blessings to him for us?Hexagram 62.3>16"
4,"Good morning,The hearing for the dispute about child support from my exhusband is due to take place on the 23rd of this month.I asked Show me a picture of receiving a lump sum from child supportHex 56.3.4>23I was hoping to receive this money to register my kombi campervan thereby not only be able to go take a much needed break but also to give my other car to my son, who I am teaching to drive, when he gains his licence as well as easing up the financial strain we are in.My exhusband has been travelling with his fiance(older by 3 years though) - and he has told the child support agency she is supporting him financially (which she essentially is more or less) but he doesn't feel it is right that she should have to pay the child support payments just because he doesn't have the money.So there are vehicles and travelling involved in this reading so I am not quite sure what to make of it.thksMeilssa x"
5,"Hi all,I got the hexagram 10 (with 9 in the second place) to the following question: What will happen if I marry X?I can't figure out whether it tells me to go ahead or not....Can someone shed light on this please?Thank you,Igraine"
6,"We have a rather difficult relationship... On and off... Now he's here, ""in"" the relationship, then he acts as he was out... I don't understand and it's difficult to have a discussion with him about this, so I asked YI:What's his position in the relationship with me?Answer: 37.2.6 > 5Waiting for a family?  I don't understand the answer, seriously. I need help. Thank you."
7,"I have asked the oracle a series of questions re: somebody who I cannot get out of my head!If anybody could please help me to interpret these, I would be very grateful. I am quite new to the I Ching.The questions and answers were as follows:1) How can I let X know that she can have me if she wants me without coming on too strong and scaring her off?Answer: 44 no changing lines2) How realistic is it for me to believe that X & I could fall truly in love with each other?Answer: 64 no changing lines3) How realistic is my ambition to one day marry X?Answer: 22 no changing lines4) How should I respond at this time to my feelings for X in order to move with the Tao?Answer: 39.3 to 8I do have some ideas about what I think these mean, but I would be very interested to know what anybody else thinks without sharing my views, because I really don't have much confidence in my interpretations.Any help would be appreciated.Many thanks"
8,Will I ever be as successful as my brothers? Hexagram 63.1 to 39I guess 63.1 is like I can try (already tried to cross but got tail wet) but won't get far and 39 is obstruction so there are obstacles that stand in my path of achieving such success possibly not my fate.
9,"hello again, thank for being always there helping and giving advice.I have met a new man 3 weeks ago.He was very direct to me and first night we met, he kissed me very passionately when I left the pub.We go on seeing each other every saturday night, he asked my telephone number and I didn't give it to him because I'm not sure if he's convenient to me.I asked to the IC what does X think about me?the answer was 32 line 5>28I interpret that he thinks I'm a traditional woman because he wanted me to go to his home and make love and I regret and IC is telling me I must be this way, but what line must he follow in his behaviour with me?Thank you so much"
10,"Hello,I came across this website surfing. Looks like a great community of helpful, knowledgeable people!I have used the tarot cards for years on and off and only recently discovered the Iching in the last few weeks. I am quite fascinated by it but I am too new to the Iching to intrpret properly so I found this site and read some threads in the Shared Readings section and I hope some of you can help me interpret my readings. I would be very grateful.I am very new to the Iching so I need some simple to understand replies. I am not the expert on it by any means unlike many folks here. This is all new to me.Short version:I met a wonderful man  a few months ago and we clicked instantly. We have everything in common and the attraction between us is out of this world.Well a few weeks ago some things were said and he broke it off. He didn't want to, and, he actually emailed me a few times after the little spat we had, that he is in turmoil and does not know what to do right now.There is a problem going on ( not another woman and nothing to do with me)I miss him terrribly and I am hoping we will reunite.So I asked the IChing:Is X beginning to regret breaking up with me?Hex 12:5 to 35Will X come to  see me?Hex 39:4 to Hex 31Will X take action to contact me soon?Hex 54: 2,4 to Hex 24Where is my relationship with X heading?Hex 38:1 to Hex 64When will X contact me?Hex 39: 1,3,5 to Hex 24Will X open up to me again soon? Hex 18: 2,4,5,6 to Hex 31 Thanks in advance for your help and insights!Olita"
11,"Hi,There is a woman who is known to be both me and the man I am in love with, K. K and he are long-time friends. She and I became friends much later. She introduced me to him. Despite the fact that she was engaged at the time, she got very upset when she found out about us.K and he are both from the same community/caste (I am from an entirely different country/background). They have many ties. Last year, he and I had a break but we were getting back together. My gut tells me that she got in the middle back then to create trouble. He and I are now again in contact. Recently, she called a few friends of mine to tell them that I was stalking my guy (neither of those people even know who he is to begin with, but these are the only two people she knows well enough to call at all). At this point, I haven't mentioned what has happened because I do not want to upset him any more than I have to, but also because she has a friendship with his brother (who may be the actual instigator). I just don't want to create any further difficulties with my guy.I asked the Yi, should I tell him that he shouldn't trust her/ and tell him about these phone calls to my friends telling them I am stalking him? I received:16.2>40I also asked, how will he take this information:37.3>42Does this mean he takes her as family?Is it in our overall best interest for me to tell him about her:hexagram 40What will be any unforeseen consequences to me telling him?hexagram 19Because of my rather tenuous position with him at this moment, I am very interested in getting the interpretation right as I am still learning.By the way:I realized after sending this, I needed to make a few things clear:1) I am not stalking him! This is a maneuver to get me to stay away from him because he does want to be with me. 2) I know this issue seems like junior high, but love marriages or out of caste marriages are very unusual in this particular community and are highly discouraged by families.Thank you,modest learnerLast edited: Apr 2, 2011"
12,I know this might be a little ridiculous lol but I seem to have lost a rather expensive article of clothing. I suspect it's still around the house some where but I've scowered the place up and down and still can't find it.I asked the I-Ching where it was and got 27.1.6 changing to 2. Any idea where I might find it haha?
13,"Hello:bows:First to say how accurate YI has proven itself to be yet again-yestarday. I was asking about something and thought to ask about this guy who is coming on very strongly -hex 38.. I was surprised, thought it may be an echo of previous question asking....latter that night, 38 happened.This man came out of nowhere, saying how much he likes me, and getting all upset to my defences-it is a big surprise, and I don`t really have the will to jump into something just because he is pushing me.It is through the net, and I had bad experiances before, so I asked YI for an advice on how to act in this situation? hex 35.6 into 16Went through Shared Readings ""On the other hand, perseverance in such over energetic behavior, especially toward persons with whom there is no close connection, will lead to humiliation."" (Wilheim) His?""Be on the alert, it might be nothing – or it might really be the big bounty."" (LiSe)Thinking of showing him this, actuallyI want to stay friends, but what can I hope for and what stand do I take?Thank for swift insight :bows:"
14,"Am watching a zillion thoughts a day go through this head about a man who is no good for me ( and who lives just down the road and passes me daily ).  After much deliberation I told him that it wasn't a good idea to continue this because we weren't really fulfilling eachother's other needs at all.  On the contrary really.This man and I are as different as any two people can be different and there were lots of values and standards which we don't share at all.  But the connection was physical in a way I've not known for a long time.. and delicious !I've acknowledged I don't want to be with him,  I don't like being with someone who has such a different set of standards.  I don't like a lot of things about the r/ship;  he actaully bores me when we talk about things. OH LAWD ! I know he's not good for me .. I know I can't be this close to someone on just a physical level but I keep thinking of him.  It's been a couple of weeks now. Every day ! My thoughts are about whether or not I'll see him again, whether he still wants  me..what should I wear that he'll like? Really it's quite tragic.I've meditated and watched the thoughts dispassionately and prayed and let go the thoughts and surrendered them and done the whole thing....but they still keep coming and I feel like someone with a strange compulsive obsessive disease. Anyway..so I asked for support in getting him OUT of my head utterly and I got 47, lines 2 and 5. Not sure who these blokes are with knee bands..lol. Anyone got any ideas how I should take this hexagram? And anyone have similar experiences?  I'm not in love with the man and never was. But it seems like I might as well have been by the amount of space he takes up in my mind every day. I so want to let  him go. Thank you for reading "
15,"Hi,I'm new to I Ching (and this site), and I was hoping to get some help interpreting a reading. I asked if I should go to an event tomorrow night, and I got hexagram 48 changing to 45 at lines 2, 3, and 4. Here's some background: I'd very much like to attend the event, but I already made plans to attend an ex-boyfriend's birthday party. We've been broken up for three years and are still friends, even though we aren't a regular part of each other's lives, which I have no interest in changing. He would be disappointed if I didn't attend. The other event tomorrow night, the one I'd really to go to, will be filled with people that I might like to get to know better. I know quite a few people that will be attending, but they're acquaintances rather than friends. Several are older, and present professional opportunities. Some are younger, and present romantic and social opportunities. But I don't have anyone to bring along, and since I don't know any of them extremely well, I'm nervous about going and don't know if attending tomorrow night will be to my benefit or to my detriment. The second line seems to caution me against going, because the event probably will exacerbate my faults. Or it urges me to be aware of my flaws if I do attend. The third line seems to encourage me to go. I feel like it would be braver to go, and I want to be confident enough to take risks and do things that might make me uncomfortable (in measure) in order to grow.The fourth line seems to urge me to wait as I grow stronger internally, and that I'll be prepared when a similar opportunity presents itself next time.Any thoughts on that reading?Thanks for your help!-N"
