,0,1
0,"['13', '8000']","Jan 8, 2021 at 7:50 AM"
1,"['379', '150000']","Sep 6, 2020 at 11:25 PM"
2,"['60', '69000']","Oct 21, 2018 at 2:04 AM"
3,"['35', '43000']","Nov 6, 2017 at 8:31 AM"
4,"['10', '36000']","Feb 25, 2017 at 6:39 AM"
5,"['15', '127']","Mar 2, 2021 at 7:44 AM"
6,"['16', '249']","Mar 2, 2021 at 6:45 AM"
7,"['7', '69']","Mar 2, 2021 at 1:13 AM"
8,"['2', '32']","Mar 2, 2021 at 12:48 AM"
9,"['4', '62']","Mar 1, 2021 at 6:58 PM"
10,"['17', '5000']","Mar 1, 2021 at 2:45 PM"
11,"['4', '106']","Mar 1, 2021 at 11:45 AM"
12,"['17', '199']","Mar 1, 2021 at 8:11 AM"
13,"['3', '92']","Mar 1, 2021 at 5:36 AM"
14,"['3', '45']","Mar 1, 2021 at 12:04 AM"
15,"['9', '107']","Feb 28, 2021 at 5:26 PM"
16,"['5', '100']","Feb 28, 2021 at 5:22 PM"
17,"['1', '43']","Feb 27, 2021 at 11:35 PM"
18,"['2', '67']","Feb 27, 2021 at 2:57 PM"
19,"['0', '41']","Feb 27, 2021 at 2:40 PM"
20,"['10', '179']","Feb 27, 2021 at 11:44 AM"
21,"['9', '149']","Feb 27, 2021 at 3:15 AM"
22,"['9', '112']","Feb 27, 2021 at 2:54 AM"
23,"['4', '69']","Feb 27, 2021 at 12:03 AM"
24,"['9', '83']","Feb 26, 2021 at 3:59 PM"
25,"['9', '112']","Feb 26, 2021 at 3:44 PM"
26,"['12', '204']","Feb 26, 2021 at 3:27 PM"
27,"['28', '568']","Feb 26, 2021 at 2:06 AM"
28,"['4', '120']","Feb 25, 2021 at 7:24 PM"
29,"['5', '65']","Feb 25, 2021 at 5:00 PM"
30,"['13', '198']","Feb 24, 2021 at 8:23 PM"
31,"['6', '60']","Feb 24, 2021 at 5:59 PM"
32,"['8', '990']","Feb 24, 2021 at 8:53 AM"
33,"['25', '4000']","Feb 24, 2021 at 3:04 AM"
34,"['3', '80']","Feb 23, 2021 at 10:44 PM"
